Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU,Price,Price Each
1,Veluza - 054/182,Veluza,SV04: Paradox Rift,054/182,PAR,Normal,Near Mint,English,Uncommon,523664,7495427,$0.05,$0.05
1,Vanillite,Vanillite,SV04: Paradox Rift,043/182,PAR,Normal,Near Mint,English,Common,523652,7495317,$0.03,$0.03
1,Tulip,Tulip,SV04: Paradox Rift,181/182,PAR,Normal,Near Mint,English,Uncommon,523862,7496983,$0.10,$0.10
1,Toedscruel - 017/182,Toedscruel,SV04: Paradox Rift,017/182,PAR,Reverse Holofoil,Near Mint,English,Uncommon,523617,7495027,$0.19,$0.19
1,Tinkaton,Tinkaton,SV04: Paradox Rift,085/182,PAR,Reverse Holofoil,Near Mint,English,Uncommon,523751,7495983,$0.16,$0.16
1,Tinkatink - 083/182,Tinkatink,SV04: Paradox Rift,083/182,PAR,Normal,Near Mint,English,Common,523749,7495958,$0.05,$0.05
1,Technical Machine: Blindside,Technical Machine: Blindside,SV04: Paradox Rift,176/182,PAR,Normal,Near Mint,English,Uncommon,523857,7496933,$0.06,$0.06
1,Tatsugiri,Tatsugiri,SV04: Paradox Rift,141/182,PAR,Normal,Near Mint,English,Uncommon,523822,7496588,$0.07,$0.07
1,Swablu - 152/182,Swablu,SV04: Paradox Rift,152/182,PAR,Normal,Near Mint,English,Common,523833,7496698,$0.04,$0.04
1,Spinda,Spinda,SV04: Paradox Rift,151/182,PAR,Normal,Near Mint,English,Common,523832,7496688,$0.04,$0.04
1,Purrloin,Purrloin,SV04: Paradox Rift,114/182,PAR,Normal,Near Mint,English,Common,523788,7496308,$0.06,$0.06
1,Plusle - 060/182,Plusle,SV04: Paradox Rift,060/182,PAR,Reverse Holofoil,Near Mint,English,Common,523673,7495502,$0.08,$0.08
1,Parasol Lady,Parasol Lady,SV04: Paradox Rift,169/182,PAR,Reverse Holofoil,Near Mint,English,Common,523850,7496868,$0.08,$0.08
1,Pansage,Pansage,SV04: Paradox Rift,004/182,PAR,Reverse Holofoil,Near Mint,English,Common,523603,7494892,$0.10,$0.10
1,Oricorio,Oricorio,SV04: Paradox Rift,067/182,PAR,Normal,Near Mint,English,Common,523702,7495653,$0.04,$0.04
1,Onix,Onix,SV04: Paradox Rift,090/182,PAR,Normal,Near Mint,English,Common,523757,7496033,$0.05,$0.05
1,Nymble - 013/182,Nymble,SV04: Paradox Rift,013/182,PAR,Normal,Near Mint,English,Common,523612,7494977,$0.03,$0.03
1,Nacli - 101/182,Nacli,SV04: Paradox Rift,101/182,PAR,Normal,Near Mint,English,Common,523771,7496153,$0.06,$0.06
1,Minior - 099/182,Minior,SV04: Paradox Rift,099/182,PAR,Normal,Near Mint,English,Uncommon,523769,7496138,$0.06,$0.06
1,Mienfoo,Mienfoo,SV04: Paradox Rift,096/182,PAR,Normal,Near Mint,English,Common,523766,7496113,$0.04,$0.04
1,Kingdra,Kingdra,SV04: Paradox Rift,032/182,PAR,Holofoil,Near Mint,English,Rare,523641,7495212,$0.13,$0.13
1,Gible,Gible,SV04: Paradox Rift,094/182,PAR,Normal,Near Mint,English,Common,523764,7496093,$0.06,$0.06
1,Fuecoco,Fuecoco,SV04: Paradox Rift,023/182,PAR,Normal,Near Mint,English,Common,523630,7495117,$0.06,$0.06
1,Ferroseed,Ferroseed,SV04: Paradox Rift,127/182,PAR,Normal,Near Mint,English,Common,523804,7496448,$0.04,$0.04
1,Espathra - 081/182,Espathra,SV04: Paradox Rift,081/182,PAR,Reverse Holofoil,Near Mint,English,Rare,523747,7495943,$0.11,$0.11
1,Earthen Vessel,Earthen Vessel,SV04: Paradox Rift,163/182,PAR,Normal,Near Mint,English,Uncommon,523844,7496803,$0.28,$0.28
1,Durant,Durant,SV04: Paradox Rift,129/182,PAR,Reverse Holofoil,Near Mint,English,Uncommon,523806,7496473,$0.18,$0.18
1,Doublade - 133/182,Doublade,SV04: Paradox Rift,133/182,PAR,Reverse Holofoil,Near Mint,English,Common,523810,7496513,$0.08,$0.08
1,Crocalor,Crocalor,SV04: Paradox Rift,024/182,PAR,Normal,Near Mint,English,Uncommon,523631,7495127,$0.06,$0.06
1,Chien-Pao,Chien-Pao,SV04: Paradox Rift,057/182,PAR,Holofoil,Near Mint,English,Rare,523668,7495462,$0.13,$0.13
1,Bounsweet,Bounsweet,SV04: Paradox Rift,008/182,PAR,Normal,Near Mint,English,Common,523607,7494927,$0.05,$0.05
1,Blitzle - 062/182,Blitzle,SV04: Paradox Rift,062/182,PAR,Normal,Near Mint,English,Common,523675,7495517,$0.05,$0.05
1,Aipom - 145/182,Aipom,SV04: Paradox Rift,145/182,PAR,Normal,Near Mint,English,Common,523826,7496628,$0.03,$0.03
1,Absol,Absol,SV04: Paradox Rift,113/182,PAR,Normal,Near Mint,English,Uncommon,523787,7496298,$0.05,$0.05
1,Zeraora,Zeraora,SV05: Temporal Forces,057/162,TEF,Normal,Near Mint,English,Uncommon,542801,7806578,$0.05,$0.05
1,Zeraora,Zeraora,SV05: Temporal Forces,057/162,TEF,Reverse Holofoil,Near Mint,English,Uncommon,542801,7806583,$0.14,$0.14
1,Vikavolt,Vikavolt,SV05: Temporal Forces,056/162,TEF,Reverse Holofoil,Near Mint,English,Uncommon,542800,7806573,$0.10,$0.10
1,Torracat,Torracat,SV05: Temporal Forces,033/162,TEF,Normal,Near Mint,English,Common,542777,7806353,$0.08,$0.08
1,Solosis,Solosis,SV05: Temporal Forces,070/162,TEF,Normal,Near Mint,English,Common,542814,7806703,$0.05,$0.05
1,Skitty,Skitty,SV05: Temporal Forces,130/162,TEF,Normal,Near Mint,English,Common,542874,7807263,$0.06,$0.06
1,Shroomish,Shroomish,SV05: Temporal Forces,006/162,TEF,Normal,Near Mint,English,Common,542652,7805493,$0.04,$0.04
1,Shaymin,Shaymin,SV05: Temporal Forces,013/162,TEF,Normal,Near Mint,English,Uncommon,542761,7806203,$0.05,$0.05
1,Scream Tail,Scream Tail,SV05: Temporal Forces,077/162,TEF,Normal,Near Mint,English,Uncommon,542821,7806773,$0.12,$0.12
1,Sandy Shocks,Sandy Shocks,SV05: Temporal Forces,098/162,TEF,Normal,Near Mint,English,Uncommon,542842,7806978,$0.05,$0.05
1,Sandy Shocks,Sandy Shocks,SV05: Temporal Forces,098/162,TEF,Reverse Holofoil,Near Mint,English,Uncommon,542842,7806983,$0.21,$0.21
1,Roselia,Roselia,SV05: Temporal Forces,008/162,TEF,Normal,Near Mint,English,Common,542655,7805523,$0.05,$0.05
1,Rockruff,Rockruff,SV05: Temporal Forces,089/162,TEF,Normal,Near Mint,English,Common,542833,7806888,$0.06,$0.06
1,Rellor,Rellor,SV05: Temporal Forces,023/162,TEF,Normal,Near Mint,English,Common,542767,7806258,$0.10,$0.10
1,Relicanth - 084/162,Relicanth,SV05: Temporal Forces,084/162,TEF,Holofoil,Near Mint,English,Rare,542828,7806838,$0.15,$0.15
1,Rabsca,Rabsca,SV05: Temporal Forces,024/162,TEF,Normal,Near Mint,English,Uncommon,542768,7806268,$0.10,$0.10
1,Nuzleaf,Nuzleaf,SV05: Temporal Forces,004/162,TEF,Normal,Near Mint,English,Common,542649,7805463,$0.04,$0.04
1,Mudsdale - 092/162,Mudsdale,SV05: Temporal Forces,092/162,TEF,Normal,Near Mint,English,Uncommon,542836,7806918,$0.05,$0.05
1,Minccino - 136/162,Minccino,SV05: Temporal Forces,136/162,TEF,Normal,Near Mint,English,Common,542880,7807323,$0.11,$0.11
1,Meltan - 116/162,Meltan,SV05: Temporal Forces,116/162,TEF,Normal,Near Mint,English,Common,542860,7807138,$0.05,$0.05
1,Melmetal,Melmetal,SV05: Temporal Forces,117/162,TEF,Holofoil,Near Mint,English,Rare,542861,7807148,$0.09,$0.09
1,Marill,Marill,SV05: Temporal Forces,064/162,TEF,Reverse Holofoil,Near Mint,English,Common,542808,7806648,$0.08,$0.08
1,Litten - 032/162,Litten,SV05: Temporal Forces,032/162,TEF,Normal,Near Mint,English,Common,542776,7806343,$0.05,$0.05
1,Lickitung - 124/162,Lickitung,SV05: Temporal Forces,124/162,TEF,Normal,Near Mint,English,Common,542868,7807203,$0.03,$0.03
1,Keldeo,Keldeo,SV05: Temporal Forces,044/162,TEF,Normal,Near Mint,English,Uncommon,542788,7806453,$0.09,$0.09
1,Iron Thorns,Iron Thorns,SV05: Temporal Forces,062/162,TEF,Holofoil,Near Mint,English,Rare,542806,7806623,$0.12,$0.12
1,Hoothoot,Hoothoot,SV05: Temporal Forces,126/162,TEF,Reverse Holofoil,Near Mint,English,Common,542870,7807228,$0.14,$0.14
1,Hero's Cape,Hero's Cape,SV05: Temporal Forces,152/162,TEF,Holofoil,Near Mint,English,ACE SPEC Rare,542667,7805653,$3.85,$3.85
1,Hand Trimmer,Hand Trimmer,SV05: Temporal Forces,150/162,TEF,Normal,Near Mint,English,Uncommon,542665,7805633,$0.06,$0.06
1,Grubbin,Grubbin,SV05: Temporal Forces,018/162,TEF,Normal,Near Mint,English,Common,542763,7806223,$0.04,$0.04
1,Golurk,Golurk,SV05: Temporal Forces,088/162,TEF,Normal,Near Mint,English,Uncommon,542832,7806878,$0.04,$0.04
1,Full Metal Lab,Full Metal Lab,SV05: Temporal Forces,148/162,TEF,Reverse Holofoil,Near Mint,English,Uncommon,542663,7805613,$0.18,$0.18
1,Forretress,Forretress,SV05: Temporal Forces,110/162,TEF,Normal,Near Mint,English,Uncommon,542854,7807083,$0.05,$0.05
2,Excadrill - 086/162,Excadrill,SV05: Temporal Forces,086/162,TEF,Normal,Near Mint,English,Uncommon,542830,7806858,$0.08,$0.04
1,Electivire,Electivire,SV05: Temporal Forces,054/162,TEF,Reverse Holofoil,Near Mint,English,Uncommon,542798,7806553,$0.09,$0.09
1,Drilbur,Drilbur,SV05: Temporal Forces,085/162,TEF,Normal,Near Mint,English,Common,542829,7806848,$0.04,$0.04
1,Drampa - 138/162,Drampa,SV05: Temporal Forces,138/162,TEF,Reverse Holofoil,Near Mint,English,Rare,542882,7807348,$0.17,$0.17
2,Ciphermaniac's Codebreaking - 145/162,Ciphermaniac's Codebreaking,SV05: Temporal Forces,145/162,TEF,Normal,Near Mint,English,Uncommon,542660,7805578,$0.20,$0.10
1,Chatot - 132/162,Chatot,SV05: Temporal Forces,132/162,TEF,Normal,Near Mint,English,Common,542876,7807283,$0.06,$0.06
1,Charjabug - 055/162,Charjabug,SV05: Temporal Forces,055/162,TEF,Normal,Near Mint,English,Common,542799,7806558,$0.04,$0.04
1,Breloom,Breloom,SV05: Temporal Forces,007/162,TEF,Normal,Near Mint,English,Common,542653,7805503,$0.05,$0.05
1,Boltund,Boltund,SV05: Temporal Forces,059/162,TEF,Normal,Near Mint,English,Uncommon,542803,7806598,$0.08,$0.08
1,Beldum,Beldum,SV05: Temporal Forces,113/162,TEF,Normal,Near Mint,English,Common,542857,7807108,$0.07,$0.07
1,Volbeat,Volbeat,SV06: Twilight Masquerade,009/167,TWM,Normal,Near Mint,English,Common,550053,7910056,$0.05,$0.05
1,Varoom,Varoom,SV06: Twilight Masquerade,124/167,TWM,Normal,Near Mint,English,Common,550168,7911151,$0.08,$0.08
1,Ting-Lu,Ting-Lu,SV06: Twilight Masquerade,110/167,TWM,Holofoil,Near Mint,English,Rare,550154,7911016,$0.10,$0.10
1,Slurpuff,Slurpuff,SV06: Twilight Masquerade,090/167,TWM,Normal,Near Mint,English,Uncommon,550134,7910826,$0.04,$0.04
1,Poltchageist - 021/167,Poltchageist,SV06: Twilight Masquerade,021/167,TWM,Reverse Holofoil,Near Mint,English,Common,550065,7910181,$0.10,$0.10
1,Phantump,Phantump,SV06: Twilight Masquerade,012/167,TWM,Normal,Near Mint,English,Common,550056,7910086,$0.06,$0.06
1,Perrin - 160/167,Perrin,SV06: Twilight Masquerade,160/167,TWM,Reverse Holofoil,Near Mint,English,Uncommon,550204,7911496,$0.13,$0.13
1,Luxio,Luxio,SV06: Twilight Masquerade,067/167,TWM,Normal,Near Mint,English,Common,550111,7910606,$0.05,$0.05
1,Illumise,Illumise,SV06: Twilight Masquerade,010/167,TWM,Reverse Holofoil,Near Mint,English,Common,550054,7910071,$0.13,$0.13
1,Hawlucha,Hawlucha,SV06: Twilight Masquerade,107/167,TWM,Reverse Holofoil,Near Mint,English,Common,550151,7910991,$0.08,$0.08
1,Goldeen,Goldeen,SV06: Twilight Masquerade,044/167,TWM,Normal,Near Mint,English,Common,550088,7910386,$0.05,$0.05
1,Glimmora,Glimmora,SV06: Twilight Masquerade,109/167,TWM,Normal,Near Mint,English,Uncommon,550153,7911006,$0.05,$0.05
1,Girafarig,Girafarig,SV06: Twilight Masquerade,083/167,TWM,Normal,Near Mint,English,Common,550127,7910756,$0.06,$0.06
1,Froakie,Froakie,SV06: Twilight Masquerade,056/167,TWM,Normal,Near Mint,English,Common,550100,7910506,$0.08,$0.08
1,Flabebe,Flabebe,SV06: Twilight Masquerade,086/167,TWM,Reverse Holofoil,Near Mint,English,Common,550130,7910791,$0.10,$0.10
1,Festival Grounds,Festival Grounds,SV06: Twilight Masquerade,149/167,TWM,Normal,Near Mint,English,Uncommon,550193,7911386,$0.06,$0.06
1,Enamorus - 093/167,Enamorus,SV06: Twilight Masquerade,093/167,TWM,Reverse Holofoil,Near Mint,English,Rare,550137,7910861,$0.14,$0.14
1,Eevee - 135/167,Eevee,SV06: Twilight Masquerade,135/167,TWM,Normal,Near Mint,English,Common,550179,7911251,$0.13,$0.13
1,Clefairy,Clefairy,SV06: Twilight Masquerade,078/167,TWM,Normal,Near Mint,English,Common,550122,7910706,$0.09,$0.09
1,Chansey - 133/167,Chansey,SV06: Twilight Masquerade,133/167,TWM,Normal,Near Mint,English,Common,550177,7911236,$0.08,$0.08
1,Chandelure,Chandelure,SV06: Twilight Masquerade,038/167,TWM,Holofoil,Near Mint,English,Rare,550082,7910331,$0.06,$0.06
1,Boomerang Energy,Boomerang Energy,SV06: Twilight Masquerade,166/167,TWM,Normal,Near Mint,English,Uncommon,550210,7911531,$0.12,$0.12
1,Applin - 017/167,Applin,SV06: Twilight Masquerade,017/167,TWM,Normal,Near Mint,English,Common,550061,7910136,$0.06,$0.06
1,Accompanying Flute,Accompanying Flute,SV06: Twilight Masquerade,142/167,TWM,Normal,Near Mint,English,Uncommon,550186,7911316,$0.08,$0.08
1,Salazzle,Salazzle,SV07: Stellar Crown,024/142,SV07,Reverse Holofoil,Near Mint,English,Uncommon,567250,8119849,$0.10,$0.10
1,Riolu,Riolu,SV07: Stellar Crown,081/142,SV07,Normal,Near Mint,English,Common,567307,8120379,$0.06,$0.06
1,Revavroom,Revavroom,SV07: Stellar Crown,109/142,SV07,Normal,Near Mint,English,Uncommon,567335,8120644,$0.03,$0.03
1,Rapidash,Rapidash,SV07: Stellar Crown,020/142,SV07,Normal,Near Mint,English,Uncommon,567246,8119804,$0.07,$0.07
1,Pancham,Pancham,SV07: Stellar Crown,085/142,SV07,Reverse Holofoil,Near Mint,English,Common,567311,8120419,$0.11,$0.11
1,Mow Rotom,Mow Rotom,SV07: Stellar Crown,008/142,SV07,Normal,Near Mint,English,Common,567234,8119689,$0.05,$0.05
1,Medicham,Medicham,SV07: Stellar Crown,079/142,SV07,Normal,Near Mint,English,Common,567305,8120364,$0.04,$0.04
1,Lumineon,Lumineon,SV07: Stellar Crown,036/142,SV07,Normal,Near Mint,English,Uncommon,567262,8119949,$0.04,$0.04
1,Lapras,Lapras,SV07: Stellar Crown,031/142,SV07,Normal,Near Mint,English,Uncommon,567257,8119904,$0.08,$0.08
1,Lanturn,Lanturn,SV07: Stellar Crown,049/142,SV07,Normal,Near Mint,English,Uncommon,567275,8120074,$0.03,$0.03
1,Lacey - 139/142,Lacey,SV07: Stellar Crown,139/142,SV07,Normal,Near Mint,English,Uncommon,567407,8121134,$0.07,$0.07
1,Klink,Klink,SV07: Stellar Crown,099/142,SV07,Reverse Holofoil,Near Mint,English,Common,567325,8120554,$0.09,$0.09
1,Jirachi,Jirachi,SV07: Stellar Crown,098/142,SV07,Normal,Near Mint,English,Uncommon,567324,8120539,$0.09,$0.09
1,Impidimp,Impidimp,SV07: Stellar Crown,094/142,SV07,Reverse Holofoil,Near Mint,English,Common,567320,8120504,$0.12,$0.12
1,Grimmsnarl,Grimmsnarl,SV07: Stellar Crown,096/142,SV07,Holofoil,Near Mint,English,Rare,567322,8120519,$0.07,$0.07
1,Fidough,Fidough,SV07: Stellar Crown,066/142,SV07,Normal,Near Mint,English,Common,567292,8120239,$0.07,$0.07
1,Eevee,Eevee,SV07: Stellar Crown,113/142,SV07,Normal,Near Mint,English,Common,567339,8120679,$0.16,$0.16
1,Charcadet,Charcadet,SV07: Stellar Crown,029/142,SV07,Normal,Near Mint,English,Common,567255,8119889,$0.03,$0.03
1,Basic Psychic Energy,Basic Psychic Energy,SV07: Stellar Crown,013,SV07,Normal,Near Mint,English,Common,578865,8207252,$0.04,$0.04
1,Basic Fire Energy,Basic Fire Energy,SV07: Stellar Crown,010,SV07,Normal,Near Mint,English,Common,578863,8207242,$0.06,$0.06
1,Zebstrika,Zebstrika,SV08: Surging Sparks,063/191,SV08,Reverse Holofoil,Near Mint,English,Common,590100,8299802,$0.07,$0.07
1,Tera Orb,Tera Orb,SV08: Surging Sparks,189/191,SV08,Normal,Near Mint,English,Uncommon,590076,8299567,$0.17,$0.17
1,Larvesta - 024/191,Larvesta,SV08: Surging Sparks,024/191,SV08,Normal,Near Mint,English,Common,589981,8298767,$0.05,$0.05
1,Zamazenta - 146/182,Zamazenta,SV10: Destined Rivals,146/182,DRI,Holofoil,Near Mint,English,Rare,632952,8727653,$0.09,$0.09
1,Team Rocket's Weezing - 126/182,Team Rocket's Weezing,SV10: Destined Rivals,126/182,DRI,Normal,Near Mint,English,Uncommon,632934,8727478,$0.07,$0.07
1,Team Rocket's Porygon,Team Rocket's Porygon,SV10: Destined Rivals,153/182,DRI,Normal,Near Mint,English,Common,630826,8691166,$0.05,$0.05
1,Team Rocket's Petrel - 176/182,Team Rocket's Petrel,SV10: Destined Rivals,176/182,DRI,Normal,Near Mint,English,Uncommon,632976,8727888,$0.19,$0.19
1,Team Rocket's Dottler,Team Rocket's Dottler,SV10: Destined Rivals,088/182,DRI,Reverse Holofoil,Near Mint,English,Common,632897,8727133,$0.11,$0.11
1,Team Rocket's Blipbug,Team Rocket's Blipbug,SV10: Destined Rivals,015/182,DRI,Reverse Holofoil,Near Mint,English,Common,632841,8726603,$0.20,$0.20
1,Team Rocket's Articuno,Team Rocket's Articuno,SV10: Destined Rivals,051/182,DRI,Holofoil,Near Mint,English,Rare,632864,8726818,$0.19,$0.19
1,Team Rocket's Ariana - 171/182,Team Rocket's Ariana,SV10: Destined Rivals,171/182,DRI,Normal,Near Mint,English,Uncommon,632972,8727848,$0.19,$0.19
1,Marnie's Impidimp,Marnie's Impidimp,SV10: Destined Rivals,134/182,DRI,Normal,Near Mint,English,Common,632942,8727558,$0.12,$0.12
1,Arven's Toedscool,Arven's Toedscool,SV10: Destined Rivals,109/182,DRI,Normal,Near Mint,English,Common,632917,8727318,$0.03,$0.03
1,Thwackey (012),Thwackey,SWSH01: Sword & Shield Base Set,012/202,SWSH01,Reverse Holofoil,Near Mint,English,Uncommon,208291,4335990,$0.51,$0.51
1,Rare Candy,Rare Candy,SWSH01: Sword & Shield Base Set,180/202,SWSH01,Reverse Holofoil,Near Mint,English,Uncommon,208513,4337796,$0.35,$0.35
1,Purugly,Purugly,SWSH05: Battle Styles,116/163,SWSH05,Normal,Near Mint,English,Uncommon,234158,4819394,$0.06,$0.06
1,Glameow,Glameow,SWSH05: Battle Styles,115/163,SWSH05,Normal,Near Mint,English,Common,234157,4819384,$0.05,$0.05
1,Venipede,Venipede,SWSH06: Chilling Reign,105/198,SWSH06,Normal,Near Mint,English,Common,241780,5034870,$0.05,$0.05
1,Spheal,Spheal,SWSH06: Chilling Reign,037/198,SWSH06,Normal,Near Mint,English,Common,241690,5034145,$0.11,$0.11
1,Sealeo,Sealeo,SWSH06: Chilling Reign,038/198,SWSH06,Normal,Near Mint,English,Uncommon,241691,5034155,$0.07,$0.07
1,Lairon,Lairon,SWSH06: Chilling Reign,110/198,SWSH06,Normal,Near Mint,English,Uncommon,241785,5034920,$0.07,$0.07
1,Klara (Full Art),Klara,SWSH06: Chilling Reign,194/198,SWSH06,Holofoil,Near Mint,English,Ultra Rare,241845,5035375,$17.47,$17.47
1,Klara,Klara,SWSH06: Chilling Reign,145/198,SWSH06,Normal,Near Mint,English,Uncommon,241844,5035365,$0.10,$0.10
1,Ice Rider Calyrex VMAX,Ice Rider Calyrex VMAX,SWSH06: Chilling Reign,046/198,SWSH06,Holofoil,Near Mint,English,Ultra Rare,241701,5034240,$1.23,$1.23
1,Galarian Farfetch'd,Galarian Farfetch'd,SWSH06: Chilling Reign,078/198,SWSH06,Normal,Near Mint,English,Common,241743,5034585,$0.10,$0.10
1,Furfrou,Furfrou,SWSH06: Chilling Reign,126/198,SWSH06,Normal,Near Mint,English,Common,241808,5035090,$0.07,$0.07
1,Brawly,Brawly,SWSH06: Chilling Reign,131/198,SWSH06,Normal,Near Mint,English,Uncommon,241817,5035160,$0.05,$0.05
1,Woobat,Woobat,SWSH07: Evolving Skies,068/203,SWSH07,Normal,Near Mint,English,Common,246843,5150963,$0.10,$0.10
1,Tentacruel,Tentacruel,SWSH07: Evolving Skies,027/203,SWSH07,Reverse Holofoil,Moderately Played,English,Uncommon,246822,5150810,$0.19,$0.19
1,Swoobat,Swoobat,SWSH07: Evolving Skies,069/203,SWSH07,Reverse Holofoil,Near Mint,English,Uncommon,246845,5150988,$0.12,$0.12
1,Sableye,Sableye,SWSH07: Evolving Skies,067/203,SWSH07,Normal,Near Mint,English,Common,246842,5150953,$0.06,$0.06
1,Roggenrola,Roggenrola,SWSH07: Evolving Skies,086/203,SWSH07,Normal,Near Mint,English,Common,246883,5151288,$0.09,$0.09
1,Palpitoad,Palpitoad,SWSH07: Evolving Skies,089/203,SWSH07,Normal,Near Mint,English,Uncommon,246890,5151348,$0.08,$0.08
1,Litleo,Litleo,SWSH07: Evolving Skies,022/203,SWSH07,Normal,Near Mint,English,Common,246838,5150923,$0.07,$0.07
1,Hippopotas,Hippopotas,SWSH07: Evolving Skies,084/203,SWSH07,Normal,Near Mint,English,Common,246878,5151248,$0.04,$0.04
1,Herdier,Herdier,SWSH07: Evolving Skies,134/203,SWSH07,Normal,Near Mint,English,Uncommon,246869,5151178,$0.05,$0.05
1,Gossifleur,Gossifleur,SWSH07: Evolving Skies,015/203,SWSH07,Normal,Near Mint,English,Common,246828,5150843,$0.04,$0.04
1,Drampa,Drampa,SWSH07: Evolving Skies,119/203,SWSH07,Normal,Near Mint,English,Rare,246917,5151523,$0.16,$0.16
1,Chinchou,Chinchou,SWSH07: Evolving Skies,052/203,SWSH07,Reverse Holofoil,Near Mint,English,Common,246888,5151338,$0.13,$0.13
1,Stantler,Stantler,SWSH08: Fusion Strike,208/264,SWSH08,Normal,Near Mint,English,Uncommon,253304,5266500,$0.11,$0.11
1,Sliggoo,Sliggoo,SWSH08: Fusion Strike,196/264,SWSH08,Normal,Near Mint,English,Uncommon,253354,5266895,$0.11,$0.11
1,Shellder,Shellder,SWSH08: Fusion Strike,050/264,SWSH08,Reverse Holofoil,Near Mint,English,Common,253181,5269922,$0.20,$0.20
2,Rotom,Rotom,SWSH08: Fusion Strike,094/264,SWSH08,Normal,Near Mint,English,Common,253250,5266185,$0.16,$0.08
1,Pansear,Pansear,SWSH08: Fusion Strike,037/264,SWSH08,Normal,Near Mint,English,Common,253137,5263345,$0.06,$0.06
1,Lopunny,Lopunny,SWSH08: Fusion Strike,213/264,SWSH08,Normal,Near Mint,English,Uncommon,253310,5266555,$0.07,$0.07
1,Lapras,Lapras,SWSH08: Fusion Strike,054/264,SWSH08,Normal,Near Mint,English,Uncommon,253185,5264215,$0.14,$0.14
1,Jynx,Jynx,SWSH08: Fusion Strike,112/264,SWSH08,Normal,Near Mint,English,Common,253273,5266300,$0.15,$0.15
1,Indeedee,Indeedee,SWSH08: Fusion Strike,127/264,SWSH08,Normal,Near Mint,English,Common,253318,5266615,$0.06,$0.06
1,Galarian Linoone,Galarian Linoone,SWSH08: Fusion Strike,160/264,SWSH08,Normal,Near Mint,English,Uncommon,253374,5267015,$0.06,$0.06
1,Farewell Bell,Farewell Bell,SWSH08: Fusion Strike,234/264,SWSH08,Normal,Near Mint,English,Uncommon,253107,5270337,$0.05,$0.05
1,Crossceiver,Crossceiver,SWSH08: Fusion Strike,231/264,SWSH08,Normal,Near Mint,English,Uncommon,253103,5262780,$0.06,$0.06
1,Clawitzer,Clawitzer,SWSH08: Fusion Strike,075/264,SWSH08,Normal,Near Mint,English,Uncommon,253225,5265500,$0.11,$0.11
1,Nosepass,Nosepass,SWSH09: Brilliant Stars,073/172,SWSH09,Normal,Near Mint,English,Common,263789,5449518,$0.06,$0.06
1,Minccino,Minccino,SWSH09: Brilliant Stars,124/172,SWSH09,Normal,Near Mint,English,Common,263847,5450018,$0.07,$0.07
1,Farfetch'd,Farfetch'd,SWSH09: Brilliant Stars,115/172,SWSH09,Normal,Near Mint,English,Common,263838,5449938,$0.06,$0.06
1,Dedenne,Dedenne,SWSH09: Brilliant Stars,067/172,SWSH09,Normal,Near Mint,English,Common,263783,5449468,$0.06,$0.06
1,Blunder Policy,Blunder Policy,SWSH09: Brilliant Stars,131/172,SWSH09,Reverse Holofoil,Near Mint,English,Uncommon,263854,5450088,$0.11,$0.11
1,Baltoy,Baltoy,SWSH09: Brilliant Stars,058/172,SWSH09,Normal,Near Mint,English,Common,263774,5449388,$0.03,$0.03
1,Yanma,Yanma,SWSH10: Astral Radiance,006/189,SWSH10,Normal,Near Mint,English,Common,272206,5593566,$0.06,$0.06
1,Vespiquen,Vespiquen,SWSH10: Astral Radiance,012/189,SWSH10,Normal,Near Mint,English,Rare,272212,5593626,$0.09,$0.09
1,Swinub,Swinub,SWSH10: Astral Radiance,031/189,SWSH10,Normal,Near Mint,English,Common,272231,5593786,$0.05,$0.05
1,Poochyena,Poochyena,SWSH10: Astral Radiance,095/189,SWSH10,Normal,Near Mint,English,Common,272296,5594377,$0.08,$0.08
1,Misdreavus,Misdreavus,SWSH10: Astral Radiance,058/189,SWSH10,Normal,Near Mint,English,Common,272259,5594032,$0.07,$0.07
1,Miltank,Miltank,SWSH10: Astral Radiance,126/189,SWSH10,Reverse Holofoil,Near Mint,English,Holo Rare,272363,5594776,$0.18,$0.18
1,Magnemite,Magnemite,SWSH10: Astral Radiance,105/189,SWSH10,Normal,Near Mint,English,Common,272306,5594457,$0.05,$0.05
1,Hisuian Qwilfish (89),Hisuian Qwilfish,SWSH10: Astral Radiance,089/189,SWSH10,Normal,Near Mint,English,Common,272290,5594322,$0.07,$0.07
1,Hisuian Growlithe,Hisuian Growlithe,SWSH10: Astral Radiance,070/189,SWSH10,Normal,Near Mint,English,Common,272271,5594152,$0.10,$0.10
1,Hisuian Basculin,Hisuian Basculin,SWSH10: Astral Radiance,043/189,SWSH10,Normal,Near Mint,English,Common,272243,5593896,$0.07,$0.07
1,Gutsy Pickaxe,Gutsy Pickaxe,SWSH10: Astral Radiance,145/189,SWSH10,Normal,Near Mint,English,Uncommon,272397,5595026,$0.07,$0.07
1,Grant,Grant,SWSH10: Astral Radiance,144/189,SWSH10,Normal,Near Mint,English,Uncommon,272396,5595016,$0.07,$0.07
1,Glameow,Glameow,SWSH10: Astral Radiance,127/189,SWSH10,Normal,Near Mint,English,Common,272364,5594781,$0.07,$0.07
1,Gapejaw Bog,Gapejaw Bog,SWSH10: Astral Radiance,142/189,SWSH10,Normal,Near Mint,English,Uncommon,272394,5594996,$0.07,$0.07
